Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2GFT-20: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,Contractor
06-06-00-02/01-01,Splicing of single fibre,ribbon,,$ 9.09,44,$ 399.96,,,,
,2GFT-20-01-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,01,Tom Grieve
,2GFT-20-02-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,02,Tom Grieve
,2GFT-20-03-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,03,Tom Grieve
,2GFT-20-03-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,03,Tom Grieve
,2GFT-20-04-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,04,Tom Grieve
,2GFT-20-05-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,05,Tom Grieve
,2GFT-20-06-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,06,Tom Grieve
,2GFT-20-07-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,07,Tom Grieve
,2GFT-20-08-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,08,Tom Grieve
,2GFT-20-09-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,09,Tom Grieve
,2GFT-20-10-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,10,Tom Grieve
,2GFT-20-11-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,11,Tom Grieve
,2GFT-20-12-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,12,Tom Grieve
,2GFT-20-13-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,13,Tom Grieve
,2GFT-20-14-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,14,Tom Grieve
,2GFT-20-15-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,15,Tom Grieve
,2GFT-20-16-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,16,Tom Grieve
,2GFT-20-17-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,17,Tom Grieve
,2GFT-20-18-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,18,Tom Grieve
,2GFT-20-19-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,19,Tom Grieve
,2GFT-20-20-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,20,Tom Grieve
,2GFT-20-21-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,21,Tom Grieve
,,,,,,,,,,
06-06-00-03/01-01,De-Ribbonise 12 fibre ribbon.,ribbon,,$ 32.00,21,$ 672.00,,,,
,2GFT-20-01-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,01,Tom Grieve
,2GFT-20-02-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,02,Tom Grieve
,2GFT-20-03-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,03,Tom Grieve
,2GFT-20-04-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,04,Tom Grieve
,2GFT-20-05-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,05,Tom Grieve
,2GFT-20-06-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,06,Tom Grieve
,2GFT-20-07-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,07,Tom Grieve
,2GFT-20-08-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,08,Tom Grieve
,2GFT-20-09-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,09,Tom Grieve
,2GFT-20-10-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,10,Tom Grieve
,2GFT-20-11-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,11,Tom Grieve
,2GFT-20-12-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,12,Tom Grieve
,2GFT-20-13-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,13,Tom Grieve
,2GFT-20-14-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,14,Tom Grieve
,2GFT-20-15-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,15,Tom Grieve
,2GFT-20-16-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,16,Tom Grieve
,2GFT-20-17-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,17,Tom Grieve
,2GFT-20-18-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,18,Tom Grieve
